F. Lemarchand (2013)
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
Lambda  Re(N)   Im(N)
1.225	1.466433 1e-8
1.230	1.466416 1e-8
1.235	1.466400 1e-8
1.240	1.466384 1e-8
1.245	1.466368 1e-8
1.250	1.466352 1e-8
1.255	1.466336 1e-8
1.260	1.466321 1e-8
1.265	1.466306 1e-8
1.270	1.466290 1e-8
1.275	1.466276 1e-8
1.280	1.466261 1e-8
1.285	1.466246 1e-8
1.290	1.466232 1e-8
1.295	1.466218 1e-8
1.300	1.466204 1e-8
1.305	1.466190 1e-8
1.310	1.466176 1e-8
1.315	1.466162 1e-8
1.320	1.466149 1e-8
1.325	1.466136 1e-8
1.330	1.466123 1e-8
1.335	1.466110 1e-8
1.340	1.466097 1e-8
1.345	1.466084 1e-8
1.350	1.466071 1e-8
1.355	1.466059 1e-8
1.360	1.466047 1e-8
1.365	1.466035 1e-8
1.370	1.466023 1e-8
1.375	1.466011 1e-8
1.380	1.465999 1e-8
1.385	1.465987 1e-8
1.390	1.465976 1e-8
1.395	1.465965 1e-8
1.400	1.465953 1e-8
1.405	1.465942 1e-8
1.410	1.465931 1e-8
1.415	1.465920 1e-8
1.420	1.465910 1e-8
1.425	1.465899 1e-8
1.430	1.465888 1e-8
1.435	1.465878 1e-8
1.440	1.465868 1e-8
1.445	1.465857 1e-8
1.450	1.465847 1e-8
1.455	1.465837 1e-8
1.460	1.465827 1e-8
1.465	1.465818 1e-8
1.470	1.465808 1e-8
1.475	1.465798 1e-8
1.480	1.465789 1e-8
1.485	1.465779 1e-8
1.490	1.465770 1e-8
1.495	1.465761 1e-8
1.500	1.465752 1e-8
1.505	1.465743 1e-8
1.510	1.465734 1e-8
1.515	1.465725 1e-8
1.520	1.465716 1e-8
1.525	1.465707 1e-8
1.530	1.465699 1e-8
1.535	1.465690 1e-8
1.540	1.465682 1e-8
1.545	1.465673 1e-8
1.550	1.465665 1e-8
1.555	1.465657 1e-8
1.560	1.465649 1e-8
1.565	1.465641 1e-8
1.570	1.465633 1e-8
1.575	1.465625 1e-8
1.580	1.465617 1e-8
1.585	1.465609 1e-8
1.590	1.465602 1e-8
1.595	1.465594 1e-8
1.600	1.465587 1e-8
1.605	1.465579 1e-8
1.610	1.465572 1e-8
1.615	1.465564 1e-8
1.620	1.465557 1e-8
1.625	1.465550 1e-8
1.630	1.465543 1e-8
1.635	1.465536 1e-8
1.640	1.465529 1e-8
1.645	1.465522 1e-8
1.650	1.465515 1e-8
1.655	1.465508 1e-8
1.660	1.465502 1e-8
1.665	1.465495 1e-8
1.670	1.465488 1e-8
1.675	1.465482 1e-8
1.680	1.465475 1e-8
